EmployeeNumber,Attrition,Department,Age,Gender,JobRole,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany
1,Yes,Sales,41,Female,Sales Executive,4,5993,1,6
2,No,Research & Development,49,Male,Research Scientist,2,5130,3,10
4,Yes,Research & Development,37,Male,Laboratory Technician,3,2090,3,0
5,No,Research & Development,33,Female,Research Scientist,3,2909,3,8
7,No,Research & Development,27,Male,Laboratory Technician,2,3468,3,2
8,No,Research & Development,32,Male,Laboratory Technician,4,3068,2,7
10,No,Research & Development,59,Female,Laboratory Technician,1,2670,2,1
11,No,Research & Development,30,Male,Laboratory Technician,3,2693,3,1
12,No,Research & Development,38,Male,Manufacturing Director,3,9526,3,9
13,No,Research & Development,36,Male,Healthcare Representative,3,5237,2,7
14,No,Research & Development,35,Male,Laboratory Technician,2,2426,3,5
15,No,Research & Development,29,Female,Laboratory Technician,3,4193,3,9
16,No,Research & Development,31,Male,Research Scientist,3,2911,2,5
18,No,Research & Development,34,Male,Laboratory Technician,4,2661,3,2
19,Yes,Research & Development,28,Male,Laboratory Technician,3,2028,3,4
20,No,Research & Development,29,Female,Manufacturing Director,1,9980,3,10
21,No,Research & Development,32,Male,Research Scientist,2,3298,2,6
22,No,Research & Development,22,Male,Laboratory Technician,4,2935,2,1
23,No,Sales,53,Female,Manager,4,15427,3,25
24,No,Research & Development,38,Male,Research Scientist,4,3944,3,3
26,No,Research & Development,24,Female,Manufacturing Director,3,4011,2,4
27,Yes,Sales,36,Male,Sales Representative,1,3407,3,5
28,No,Research & Development,34,Female,Research Director,2,11994,3,12
30,No,Research & Development,21,Male,Research Scientist,4,1232,3,0
31,Yes,Research & Development,34,Male,Research Scientist,1,2960,3,4
32,No,Research & Development,53,Female,Manager,3,19094,2,14
33,Yes,Research & Development,32,Female,Research Scientist,1,3919,3,10
35,No,Sales,42,Male,Sales Executive,2,6825,3,9
36,No,Research & Development,44,Female,Healthcare Representative,4,10248,3,22
38,No,Sales,46,Female,Manager,1,18947,2,2
39,No,Research & Development,33,Male,Laboratory Technician,4,2496,3,1
40,No,Research & Development,44,Male,Healthcare Representative,4,6465,4,4
41,No,Research & Development,30,Male,Laboratory Technician,3,2206,3,10
42,Yes,Sales,39,Male,Sales Representative,4,2086,4,1
45,Yes,Research & Development,24,Male,Research Scientist,4,2293,2,2
46,No,Research & Development,43,Female,Research Scientist,3,2645,2,5
47,Yes,Sales,50,Male,Sales Representative,3,2683,3,3
49,No,Sales,35,Female,Sales Representative,4,2014,3,2
51,No,Research & Development,36,Female,Research Scientist,1,3419,4,1
52,No,Sales,33,Female,Sales Executive,1,5376,3,5
53,No,Research & Development,35,Male,Laboratory Technician,4,1951,3,1
54,No,Research & Development,27,Female,Laboratory Technician,1,2341,3,1
55,Yes,Research & Development,26,Male,Laboratory Technician,3,2293,2,1
56,No,Sales,27,Male,Sales Executive,3,8726,3,9
57,No,Research & Development,30,Female,Laboratory Technician,4,4011,3,12
58,Yes,Research & Development,41,Female,Research Director,3,19545,3,22
60,No,Sales,34,Male,Sales Executive,3,4568,3,9
61,No,Research & Development,37,Male,Research Scientist,2,3022,3,1
62,No,Sales,46,Male,Sales Executive,4,5772,3,9
63,No,Research & Development,35,Male,Laboratory Technician,4,2269,3,1
64,Yes,Research & Development,48,Male,Laboratory Technician,3,5381,3,1
65,Yes,Research & Development,28,Male,Laboratory Technician,3,3441,2,2
68,No,Sales,44,Female,Sales Executive,1,5454,2,4
70,No,Research & Development,35,Male,Healthcare Representative,1,9884,3,4
72,No,Sales,26,Female,Sales Executive,4,4157,2,2
73,No,Research & Development,33,Female,Research Director,4,13458,3,15
74,No,Sales,35,Male,Sales Executive,1,9069,2,9
75,No,Research & Development,35,Female,Laboratory Technician,1,4014,3,2
76,No,Research & Development,31,Male,Laboratory Technician,4,5915,2,7
77,No,Research & Development,37,Male,Manufacturing Director,3,5993,4,7
78,No,Research & Development,32,Male,Manufacturing Director,4,6162,3,9
79,No,Research & Development,38,Female,Laboratory Technician,4,2406,3,10
80,No,Research & Development,50,Female,Research Director,3,18740,2,27
81,No,Sales,59,Female,Sales Executive,1,7637,2,21
83,No,Research & Development,36,Female,Healthcare Representative,3,10096,3,17
84,No,Research & Development,55,Female,Manager,3,14756,3,5
85,No,Research & Development,36,Male,Manufacturing Director,2,6499,3,6
86,No,Research & Development,45,Male,Research Scientist,1,9724,3,1
88,No,Research & Development,35,Male,Research Scientist,1,2194,2,3
90,Yes,Research & Development,36,Male,Research Scientist,3,3388,2,1
91,No,Sales,59,Female,Sales Executive,3,5473,2,4
94,No,Research & Development,29,Male,Research Scientist,2,2703,3,5
95,No,Research & Development,31,Male,Research Scientist,2,2501,3,1
96,No,Research & Development,32,Male,Research Scientist,2,6220,3,10
97,No,Research & Development,36,Female,Laboratory Technician,4,3038,3,1
98,No,Research & Development,31,Female,Manufacturing Director,4,4424,3,11
100,No,Sales,35,Male,Sales Executive,1,4312,3,15
101,No,Research & Development,45,Male,Research Director,1,13245,4,0
102,No,Research & Development,37,Male,Research Director,3,13664,4,5
103,No,Human Resources,46,Male,Human Resources,2,5021,3,4
104,No,Research & Development,30,Male,Laboratory Technician,4,5126,2,10
105,No,Research & Development,35,Male,Research Scientist,3,2859,3,6
106,No,Sales,55,Male,Sales Executive,4,10239,3,1
107,No,Research & Development,38,Female,Research Scientist,4,5329,3,13
110,No,Research & Development,34,Male,Manufacturing Director,2,4325,3,5
112,No,Research & Development,56,Male,Manufacturing Director,4,7260,2,6
113,No,Sales,23,Male,Sales Representative,1,2322,3,0
116,No,Research & Development,51,Male,Laboratory Technician,4,2075,3,4
117,No,Research & Development,30,Male,Healthcare Representative,4,4152,3,11
118,Yes,Sales,46,Male,Sales Executive,4,9619,3,9
119,No,Research & Development,40,Male,Healthcare Representative,2,13503,2,22
120,No,Sales,51,Male,Sales Executive,4,5441,1,10
121,No,Sales,30,Female,Sales Executive,2,5209,2,11
124,No,Research & Development,46,Male,Healthcare Representative,1,10673,2,10
125,No,Sales,32,Male,Sales Executive,3,5010,3,11
126,No,Research & Development,54,Female,Research Director,3,13549,1,4
128,No,Sales,24,Female,Sales Executive,3,4999,2,3
129,No,Sales,28,Male,Sales Executive,3,4221,4,5
131,No,Sales,58,Male,Sales Executive,3,13872,2,37
132,No,Research & Development,44,Male,Laboratory Technician,2,2042,4,3
133,Yes,Human Resources,37,Male,Human Resources,1,2073,3,3
134,No,Research & Development,32,Male,Research Scientist,1,2956,3,1
137,Yes,Research & Development,20,Female,Laboratory Technician,4,2926,3,1
138,No,Research & Development,34,Female,Research Scientist,3,4809,3,16
139,No,Research & Development,37,Male,Healthcare Representative,4,5163,4,1
140,No,Human Resources,59,Female,Manager,4,18844,3,3
141,No,Research & Development,50,Female,Research Director,2,18172,2,8
142,Yes,Sales,25,Male,Sales Executive,3,5744,3,6
143,No,Research & Development,25,Male,Research Scientist,4,2889,3,2
144,No,Research & Development,22,Female,Laboratory Technician,4,2871,3,0
145,No,Research & Development,51,Female,Healthcare Representative,1,7484,2,13
147,Yes,Research & Development,34,Male,Laboratory Technician,3,6074,3,9
148,No,Human Resources,54,Female,Manager,4,17328,3,5
150,No,Research & Development,24,Male,Laboratory Technician,3,2774,3,5
151,No,Research & Development,34,Female,Research Scientist,2,4505,3,1
152,No,Sales,37,Male,Sales Executive,4,7428,3,5
153,No,Research & Development,34,Female,Manager,1,11631,3,11
154,No,Sales,36,Female,Sales Executive,4,9738,3,9
155,No,Research & Development,36,Female,Laboratory Technician,4,2835,3,1
158,No,Sales,43,Male,Manager,4,16959,4,25
159,No,Research & Development,30,Male,Research Scientist,3,2613,2,10
160,No,Sales,33,Male,Sales Executive,2,6146,4,7
161,Yes,Research & Development,56,Female,Research Scientist,2,4963,3,5
162,No,Research & Development,51,Male,Research Director,3,19537,3,20
163,Yes,Sales,31,Male,Sales Executive,3,6172,2,7
164,No,Research & Development,26,Female,Research Scientist,2,2368,2,5
165,Yes,Research & Development,58,Female,Healthcare Representative,4,10312,2,40
167,Yes,Sales,19,Male,Sales Representative,3,1675,2,0
169,No,Research & Development,22,Male,Laboratory Technician,4,2523,3,2
170,No,Research & Development,49,Female,Manufacturing Director,1,6567,2,15
171,No,Research & Development,43,Female,Research Scientist,3,4739,3,3
174,No,Sales,50,Female,Sales Executive,4,9208,3,2
175,Yes,Sales,31,Female,Sales Executive,3,4559,3,2
176,No,Sales,41,Male,Sales Executive,3,8189,3,9
177,No,Human Resources,26,Female,Human Resources,3,2942,3,8
178,No,Research & Development,36,Male,Manufacturing Director,2,4941,3,3
